游戏名, 包名, 类型, 公司名, orgame, apkCode, appId, 媒体, 关键词
爱买车,com.xcar.gcp,塞纳德（北京）信息技术有限公司,居家生活,-,-,-,mi,英雄爱三国
铁血三国-策略攻城,com.tiexsang.mi,北京特别空间网络公司,战争策略,-,-,-,mi,英雄爱三国
西游战记-挂机回合,com.yayagame.xyzj.mi,深圳麒麟聚宝金融科技有限公司,战争策略,-,-,-,mi,英雄爱三国
热血三国,com.rxsgfk1.mi,三国科技,战争策略,-,-,-,mi,英雄爱三国
天将传- 三国塔防策略,com.p2y9y.tianjj.mi,上海杰游网络科技有限公司,战争策略,-,-,-,mi,英雄爱三国
策马三国志-英雄无敌,com.xinline.cow.mi,上海鑫线信息技术有限公司,战争策略,-,-,-,mi,英雄爱三国
奥特曼传奇英雄,com.joym.legendhero.huawei.1904131543.apk,合肥乐堂动漫信息技术有限公司,-,-,-,-,huawei,英雄爱三国
大战三国志,com.dzsgz.hardtime.huawei.1809231457.apk,北京赫德时代科技有限公司,-,-,-,-,huawei,英雄爱三国
三国戏英杰传,com.tongren.sgxyjz.huawei.1811081105.apk,上海班图网络科技有限公司,-,-,-,-,huawei,英雄爱三国
童话三国志,com.xuegao.ftyear.huawei.1705031632.apk,厦门星耀互动网络科技有限公司,-,-,-,-,huawei,英雄爱三国
啪啪三国,com.huorong.papasg.huawei.1903111527.apk,上海火溶信息科技有限公司,-,-,-,-,huawei,英雄爱三国
放开那三国,com.babeltime.fknsango.huawei.1903201509.apk,海南巴别时代科技有限公司,-,-,-,-,huawei,英雄爱三国
三国枭雄,org.think.game.yeahyoo,湖南软游天下信息科技有限公司,网络游戏,-,-,-,tencent,英雄爱三国
三国世界,com.tencent.tmgp.txsgsj,深圳市冉斯网络科技有限公司,角色扮演,-,-,-,tencent,英雄爱三国
三国伏魔录,com.tencent.tmgp.jzsg,深圳酷饭科技有限公司,网络游戏,-,-,-,tencent,英雄爱三国
放开那三国（送貂蝉）,com.sincetimes.fknsg,北京华清飞扬网络股份有限公司,网络游戏,-,-,-,tencent,英雄爱三国
风云天下征战三国,com.mango.sanguo15.ruanyou,四川省巨高网络科技有限公司,经营策略,-,-,-,tencent,英雄爱三国
放开那三国2,com.tencent.tmgp.fknsg2,北京巴别时代科技股份有限公司,网络游戏,-,-,-,tencent,英雄爱三国
点兵三国：无限刷宝,com.tencent.tmgp.dianbingsg,上海阔游网络科技有限公司,经营策略,-,-,-,tencent,英雄爱三国
全民神将,com.tencent.tmgp.chuizi,西山居,网络游戏,-,-,-,tencent,英雄爱三国
三国群英传,com.tencent.tmgp.sgqyz,广东星辉天拓互动娱乐有限公司,经营策略,-,-,-,tencent,英雄爱三国
奥特曼传奇英雄,com.joym.legendhero.yyb,合肥乐堂动漫信息技术有限公司,动作冒险,-,-,-,tencent,英雄爱三国
棍子西游-塔防,com.shouxin.gzxy.mi,深圳市手心游戏科技有限公司,塔防迷宫,-,-,-,mi,英雄爱三国
放开那三国2,com.babeltime.fknsg2.mi,北京巴别时代科技股份有限公司,网游RPG,-,-,-,mi,英雄爱三国
烈火英雄,com.np.flame.hero.mg,Naxeex Publishing,动作枪战,-,-,-,mi,英雄爱三国
风暴英雄,com.naxeex.wind.hero.dbzq.m,Naxeex LLC,动作枪战,-,-,-,mi,英雄爱三国
超级英雄,com.nllc.superhero.dbzq.m,Naxeex LLC,动作枪战,-,-,-,mi,英雄爱三国
三国杀OL,com.gameabc.sgspad.huawei.1905081053.apk,杭州游卡网络技术有限公司,-,-,-,-,huawei,英雄爱三国
三国志东吴传,com.bantu.sgzdwz.huawei.1808081012.apk,上海班图网络科技有限公司,-,-,-,-,huawei,英雄爱三国
三国志2,com.neogeo.sanguozhi2.mt,International Games System,动作枪战,-,-,-,mi,英雄爱三国
攻城三国,com.duwan.dwsg.huawei.1712261207.apk,镇江傲游网络科技有限公司,-,-,-,-,huawei,英雄爱三国
极品三国,com.tianyu.jpsg.huawei.1904091524.apk,广州天瑀网络科技有限公司,-,-,-,-,huawei,英雄爱三国
正统三国,com.jedigames.p16.mi,海南尤达科技有限公司,战争策略,-,-,-,mi,英雄爱三国
名酱三国-英雄再现,com.xincgames.mingjiang.mi,馨传网络,战争策略,-,-,-,mi,英雄爱三国
街机三国,com.ztgame.j3.mi,上海巨人网络科技有限公司,格斗快打,-,-,-,mi,英雄爱三国
三国仙侠志-国战策略,com.tencent.tmgp.p2y9y.sanguoxxz.mi,上海杰游网络科技有限公司,战争策略,-,-,-,mi,英雄爱三国
挂机那三国,com.pfu.gjnsg.mi,享越（北京）科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
城池攻坚战-三国攻城,com.game.chengchigjz.mi,广州市凡点信息科技有限公司,战争策略,-,-,-,mi,英雄爱三国
超凡三国OL,com.lthd.cfsg.mi,深圳市第一波网络科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
三国志2017,com.game.sgz.mi,上海逸友网络信息技术有限公司,战争策略,-,-,-,mi,英雄爱三国
群英三国志-卡牌,com.tonegames.qunying.mi,南京图观网络科技有限公司,战争策略,-,-,-,mi,英雄爱三国
三国裂,com.sanguolie.huawei.1905061804.apk,上饶市九艮网络科技有限公司,-,-,-,-,huawei,英雄爱三国
三国之空城计,com.bmyx.sgzkcj.huawei.1812171627.apk,深圳市北冥科技有限公司,-,-,-,-,huawei,英雄爱三国
三国一统天下,air.com.qmhygame.yttx.HUAWEI.1902251550.apk,深圳市全民互娱网络科技有限公司,-,-,-,-,huawei,英雄爱三国
三国战天下,com.sytx.sgztx.huawei.1901251953.apk,海南神游天下网络科技有限公司,-,-,-,-,huawei,英雄爱三国
造兵三国,com.fingerfun.zbsg.huawei.1901112145.apk,深圳市华动飞天网络技术开发有限公司,-,-,-,-,huawei,英雄爱三国
鏖战三国,com.rst.azsg.huawei.1806281018.apk,广州任事通网络科技有限公司,-,-,-,-,huawei,英雄爱三国
新塔防三国-全民塔防,com.hirealgame.xtfsg.huawei.1903071451.apk,浙江睿娱科技有限公司,-,-,-,-,huawei,英雄爱三国
三国激战,com.dmwl.sgjz.huawei.1903191555.apk,深圳市多萌网络科技有限公司,-,-,-,-,huawei,英雄爱三国
三国志之九州战,com.bamboowind.jzz.huawei.1903251030.apk,泉州竹风软件有限公司,-,-,-,-,huawei,英雄爱三国
同人圣三国蜀汉传,com.bantu.trssgshz.huawei.1902141137.apk,上海班图网络科技有限公司,-,-,-,-,huawei,英雄爱三国
帝王·三国,com.gamebox.kingzhihuiyun.1901211552.apk,厦门新游网络股份有限公司,-,-,-,-,huawei,英雄爱三国
三国威力加强版,net.crimoon.sgzwljqb.HUAWEI.1802051633.apk,成都卓星科技有限公司,-,-,-,-,huawei,英雄爱三国
战棋三国,com.bantu.zqsgwy.huawei.1904221903.apk,上海班图网络科技有限公司,-,-,-,-,huawei,英雄爱三国
龙腾九天,com.gamewinnner.ltjt.mi,上饶市正艮网络科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
九幽仙域-仙侠真修仙,com.ml.jyxy.mi,深圳麒麟聚宝金融科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
三国战争,com.miquwan.sgzz.mi,米趣玩,战争策略,-,-,-,mi,英雄爱三国
王者争霸,com.wangzhezhengba.mi,上饶市奇天乐地科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
三国乱世霸王,com.qyzx.wssgz.huawei.1904261545.apk,深圳市凤起网络技术有限公司,-,-,-,-,huawei,英雄爱三国
冒牌三国-国战养成,com.platform2y9y.feixiong.maopaisg.mi,乾游网络,战争策略,-,-,-,mi,英雄爱三国
鬼武三国志,com.yxgc.gwsgz.huawei.1708081737.apk,成都游戏工场科技有限公司,-,-,-,-,huawei,英雄爱三国
三国消雄,com.hnej.sgxx.huawei.1903161548.apk,海南二九游科技有限公司,-,-,-,-,huawei,英雄爱三国
群战三国,com.qzsgtfsgz.huawei.1905061706.apk,广州泰均信息科技有限公司,-,-,-,-,huawei,英雄爱三国
魔法英雄,com.moonton.magicrush.mi,小米游戏,网游RPG,-,-,-,mi,英雄爱三国
三国战云,com.huanyz.sgzy.mi,重庆环游者网络科技有限公司,战争策略,-,-,-,mi,英雄爱三国
戳爆三国,com.uqee.lying.maingame.cbsg.mi,乐趣互娱科技有限公司,战争策略,-,-,-,mi,英雄爱三国
捕鱼英雄,com.jqnet.yxfish.mi,亿酷棋牌世界,休闲创意,-,-,-,mi,英雄爱三国
英雄杀,com.qqgame.mic,深圳市腾讯计算机系统有限公司,网游RPG,-,-,-,mi,英雄爱三国
小爱音箱,com.xiaomi.mico,北京小米移动软件有限公司-Mico项目组,实用工具,-,-,-,mi,英雄爱三国
战略三国,com.zlsg.mi,广州慧游网络科技有限公司,塔防迷宫,-,-,-,mi,英雄爱三国
多玩饭盒,com.duowan.lolbox,广州玩盒科技有限公司,聊天社交,-,-,-,mi,英雄爱三国
爱启航,com.yizhilu.qh,北京爱启航网络科技有限公司,学习教育,-,-,-,mi,英雄爱三国
挂机那三国,app.com.pfu.gjnsg.huawei.1711211322.apk,嘉丰永道（北京）科技股份有限公司 ,-,-,-,-,huawei,英雄爱三国
三国塔防传奇,com.llread.definesingle.huawei.1905061258.apk,杭州有米科技有限公司,-,-,-,-,huawei,英雄爱三国
权御三国,com.hugenstar.sgzclient.huawei.1803121713.apk,广州新游网络科技有限公司,-,-,-,-,huawei,英雄爱三国
雷霆英雄,com.wanjie.ltyx.huawei.1905131403.apk,广州市义耀信息科技有限公司,-,-,-,-,huawei,英雄爱三国
鏖战三国,com.rst.azsg.mi,任事通,网游RPG,-,-,-,mi,英雄爱三国
爱课程,com.css.bj.css,hep,学习教育,-,-,-,mi,英雄爱三国
冒险传奇-梦想三国,com.jiayi.mxcq.mi,广州家庭医生信息技术有限公司,动作枪战,-,-,-,mi,英雄爱三国
盟军防线-三国策略网游,com.mjfx.oomlb.mi,东莞市朝华网络科技有限公司,塔防迷宫,-,-,-,mi,英雄爱三国
三国伏魔录-卡牌三国志,com.auppp.game.mi,深圳麒麟聚宝金融科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
三国急攻防,com.tiantu.sgjgf.HUAWEI.1804222202.apk,北京鸿鸣互动科技有限公司,-,-,-,-,huawei,英雄爱三国
叫我三国迷,com.fingerfly.sanguo.huawei.1707190957.apk,泉州市丰泽区指飞信息科技有限公司,-,-,-,-,huawei,英雄爱三国
英雄战争,com.fungames.boomforce.pt,Fun Games For Free,网游RPG,-,-,-,mi,英雄爱三国
新三国,com.xsg.pl.huawei.1905062035.apk,深圳市胖乐互动科技有限公司,-,-,-,-,huawei,英雄爱三国
三国挂机名将传,com.pfu.sggj.huawei.1711081047.apk,嘉丰永道（北京）科技股份有限公司,-,-,-,-,huawei,英雄爱三国
铜雀三国,com.tqsg.chengwan.huawei.1903251641.apk,海南诚玩信息科技有限公司,-,-,-,-,huawei,英雄爱三国
龙纹三国,com.npc.sankuo.huawei.1902221711.apk,成都简乐互动科技有限公司,-,-,-,-,huawei,英雄爱三国
乱！战三国,com.rylzsg.huawei.1901092016.apk,厦门英杰讯网络技术有限公司,-,-,-,-,huawei,英雄爱三国
神将三国,com.sjsg.hc.huawei.1809031113.apk,天津恒成科技有限公司,-,-,-,-,huawei,英雄爱三国
三国跑跑,com.zilan.sgpp.huawei.1905091159.apk,深圳子兰娱乐文化有限公司,-,-,-,-,huawei,英雄爱三国
国战三国志,com.emag.gzsgz.huawei.1803261422.apk,上海红橘网络科技有限公司,-,-,-,-,huawei,英雄爱三国
像三国 ,com.pixss.likekingdom.huawei.1706161458.apk,北京泡吧科技有限公司,-,-,-,-,huawei,英雄爱三国
圣三国东吴传,com.bantu.ssgdwz.huawei.1901031328.apk,上海班图网络科技有限公司,-,-,-,-,huawei,英雄爱三国
极略三国,com.gale.sanguokill.md,广州大娱信息科技有限公司,休闲益智,-,-,-,tencent,英雄爱三国
狂斩三国,com.koogame.SangoSlayer_TX,深圳逸酷柚科技有限公司,动作冒险,-,-,-,tencent,英雄爱三国
三国点将,com.android.hjsanguoSGDJ,湖南软游天下信息科技有限公司,经营策略,-,-,-,tencent,英雄爱三国
三国之空城计,com.tencent.tmgp.sgzkcj,深圳市北冥科技有限公司,经营策略,-,-,-,tencent,英雄爱三国
龙纹三国,com.tencent.tmgp.sanguo,成都简乐互动科技有限公司,网络游戏,-,-,-,tencent,英雄爱三国
英雄三国志（策略国战手游）,com.tencent.tmgp.jqsgz,深圳市海角网路网络科技有限公司,经营策略,-,-,-,tencent,英雄爱三国
三国名将,com.teamtopgame.sgmj,广东星辉天拓互动娱乐有限公司珠海分公司,角色扮演,-,-,-,tencent,英雄爱三国
胡莱三国2-烽火燎原,com.tencent.tmgp.hlsg2,互爱互动（北京）科技有限公司,网络游戏,-,-,-,tencent,英雄爱三国
三国戏赵云传,com.game.kr.sgzzyz.huawei.1905071022.apk,上海酷宇通讯技术有限公司,-,-,-,-,huawei,英雄爱三国
兵临三国,com.jimei.xsanguo.huawei.1612081022.apk,上海集美信息技术有限公司,-,-,-,-,huawei,英雄爱三国
驯龙三国,cn.gyyx.mobile.xlsg.huawei.1709051552.apk,北京光宇在线科技有限责任公司,-,-,-,-,huawei,英雄爱三国
三国又如何,org.longs.cardgame2.huawei.1904121429.apk,上海珑思网络科技有限公司,-,-,-,-,huawei,英雄爱三国
英雄无间道,com.bhhd.lstd.huawei.1904121847.apk,深圳市忆酷互动游戏有限责任公司,-,-,-,-,huawei,英雄爱三国
三国罗曼史,com.xd.sglms.huawei.1812211224.apk,心动网络股份有限公司,-,-,-,-,huawei,英雄爱三国
挑斗三国,com.tcyw.tdsg.huawei.1903201944.apk,上海聿岚信息技术有限公司,-,-,-,-,huawei,英雄爱三国
乐高超级英雄赛车,com.lego.superheroes.dccomicsmightymicros.xc,LEGO System A/S,赛车体育,-,-,-,mi,英雄爱三国
三国大作战,com.qmhy.sgdzz.HUAWEI.1806121727.apk,深圳市全民互娱网络科技有限公司,-,-,-,-,huawei,英雄爱三国
决战轩辕-策略三国,com.juezhanxuanyuan.mi,厦门众川网络科技发展有限公司,战争策略,-,-,-,mi,英雄爱三国
三国传说-三国志王者,com.coolfun.sgcs.mi,深圳酷饭科技有限公司,战争策略,-,-,-,mi,英雄爱三国
雷霆英雄-变态传奇,com.wanjie.leitingyx.mi,广州市义耀信息科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
热血三国志ol,com.zjwl.rxsgz.mi,上海至劲网络科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
少年三国传,com.tiantu.snsgz.HUAWEI.1807031354.apk,深圳天图网络文化传播有限公司,-,-,-,-,huawei,英雄爱三国
帝王·三国,com.gamebox.kingxiaomiy,厦门新游网络股份有限公司,网游RPG,-,-,-,mi,英雄爱三国
街机三国志,com.jjsgz.ysh.pld.huawei.1807311823.apk,深圳市派乐地科技有限公司,-,-,-,-,huawei,英雄爱三国
三国大亨,com.xinai.sanguodaheng.mi,YY游戏,模拟经营,-,-,-,mi,英雄爱三国
恋三国,com.lsg.huawei.1803051412.apk,北京炎石天创科技有限公司,-,-,-,-,huawei,英雄爱三国
坦克机器人英雄,com.mac.tankrobot.mg,Mine Apps Craft,动作枪战,-,-,-,mi,英雄爱三国
暴走英雄坛,com.maple.madherogo.huawei.1902201504.apk,咪咕互动娱乐有限公司,-,-,-,-,huawei,英雄爱三国
蜘蛛侠英雄2018,com.ExtrudeGaming.flying.man.spider.hero.games.dbzq.m,Extrude Gaming Studio,动作枪战,-,-,-,mi,英雄爱三国
可以这很三国,com.baitian.pjy.jszb.huawei.1709081528.apk,广州天梯网络科技有限公司,-,-,-,-,huawei,英雄爱三国
英雄之城Ⅱ,com.snailgames.herocity.huawei.1905061539.apk,苏州蜗牛数字科技股份有限公司,-,-,-,-,huawei,英雄爱三国
三国传说,com.coolfun.sgcs.huawei.1904081352.apk,深圳酷饭科技有限公司,-,-,-,-,huawei,英雄爱三国
三国伏魔录,com.coolfun.game.huawei.1809031751.apk,深圳酷饭科技有限公司,-,-,-,-,huawei,英雄爱三国
帝王三国2,com.gamebox.king2.huawei.1903141523.apk,厦门新游网络股份有限公司,-,-,-,-,huawei,英雄爱三国
谋三国,com.digitalsky.sgz.cn.huawei.1812281913.apk,成都数字天空科技有限公司,-,-,-,-,huawei,英雄爱三国
漫画英雄3D,com.xinghe.mhyx3d.huawei.1901071247.apk,福州指尖互娱网络科技有限公司,-,-,-,-,huawei,英雄爱三国
五胡三国,com.wuhusanguo.mi,上海流烨网络科技有限公司,战争策略,-,-,-,mi,英雄爱三国
暴走三国-登录送貂蝉,com.baozousanguo.mi,上饶市悦人网络科技有限公司,战争策略,-,-,-,mi,英雄爱三国
出击英雄岛,com.wqhz.hjtg.huawei.1902231832.apk,南京勒盾信息科技有限公司,-,-,-,-,huawei,英雄爱三国
步战三国,com.baimagames.buzhansanguo.huawei.1903121544.apk,深圳市伯骐文化传媒有限公司,-,-,-,-,huawei,英雄爱三国
三国霸王大陆,com.android.sgbwdl.huawei.1708301743.apk,河南省标靶计算机科技有限公司,-,-,-,-,huawei,英雄爱三国
逐鹿三国之君临天下,com.u9time.jltx.huawei.1705121805.apk,北京游龙腾信息技术有限公司,-,-,-,-,huawei,英雄爱三国
真雄霸三国,com.iugame.g1.huawei.1710281922.apk,福安市少数派网络科技有限公司,-,-,-,-,huawei,英雄爱三国
大战英雄,com.jks.dazhanyx.huawei.1905131149.apk,广州市义耀信息科技有限公司,-,-,-,-,huawei,英雄爱三国
三国Q传,com.sgqz.sx.huawei.1806252007.apk,广州盛萱网络科技有限公司,-,-,-,-,huawei,英雄爱三国
猛将无双之战三国,com.gamedo.qq,上海宝开软件有限公司,动作冒险,-,-,-,tencent,英雄爱三国
热三卡牌版,com.tencent.tmgp.rxsg,杭州妙聚网络科技有限公司,网络游戏,-,-,-,tencent,英雄爱三国
三国戏赵云传,com.tencent.tmgp.sgxzyz,上海酷宇通讯技术有限公司,经营策略,-,-,-,tencent,英雄爱三国
谋三国（红包嘉年华）,com.tencent.tmgp.sgz2,成都数字天空科技有限公司,网络游戏,-,-,-,tencent,英雄爱三国
射雕英雄传手游,com.tencent.tmgp.sdyxz,霍尔果斯炫动网络科技有限公司,角色扮演,-,-,-,tencent,英雄爱三国
三国传说,com.tencent.tmgp.sgcs,深圳酷饭科技有限公司,网络游戏,-,-,-,tencent,英雄爱三国
三国战争,com.tencent.tmgp.mqwsgzz,深圳米趣玩科技有限公司,经营策略,-,-,-,tencent,英雄爱三国
造兵三国,com.tencent.tmgp.zbsgol,深圳市华动飞天网络技术开发有限公司,经营策略,-,-,-,tencent,英雄爱三国
攻城掠地（唯一正版）,com.tencent.tmgp.sanguobt,松原市御龙软件开发有限公司,网络游戏,-,-,-,tencent,英雄爱三国
街机三国,com.tencent.tmgp.ztgame.j3,上海巨人网络科技有限公司,网络游戏,-,-,-,tencent,英雄爱三国
名酱三国,com.xincgames.mingjiang.huawei.1810311540.apk,上海馨传网络科技有限公司,-,-,-,-,huawei,英雄爱三国
洛奇英雄传:永恒,com.tiancity.lqyxz.huawei.1809141129.apk,上海邮通科技有限公司,-,-,-,-,huawei,英雄爱三国
MR魔法英雄,com.moonton.magicrush.huawei.1904281834.apk,北京瓦力网络科技有限公司,-,-,-,-,huawei,英雄爱三国
英雄打哪儿来,com.yxdnlai.huawei.1810221204.apk,成都摩奇互娱科技有限公司,-,-,-,-,huawei,英雄爱三国
三国群雄传-国战手游,com.dianlemei.sanguoqxz.mi,惠州市点乐美信息科技有限公司,战争策略,-,-,-,mi,英雄爱三国
少年三国志-新武将登场,com.youzu.snsgz.mi,游族网络,网游RPG,-,-,-,mi,英雄爱三国
睡衣小英雄跑酷,com.pjmasks.heroessubwaybuscityrunner.dbzq.m,HANANEG92,跑酷闯关,-,-,-,mi,英雄爱三国
小小英雄,com.xxyx.union.mi,4399,休闲创意,-,-,-,mi,英雄爱三国
英雄三国志,com.yxsgz.xqt.huawei.1901310950.apk,深圳市星期天网络科技有限公司,-,-,-,-,huawei,英雄爱三国
睡衣小英雄：赛车英雄,com.pjmasks.racingheroes.dbzq.m,Entertainment One,休闲创意,-,-,-,mi,英雄爱三国
掌中三国,com.zzsg.jsgame.huawei.1810111213.apk,深圳市懒猫科技有限公司,-,-,-,-,huawei,英雄爱三国
英雄大作战X,air.com.martialstudio.herofighterx1.mt,Marti Wong,动作枪战,-,-,-,mi,英雄爱三国
三国大领主,com.fengei.sgdlz.huawei.1801171614.apk,广州分给网络科技股份有限公司,-,-,-,-,huawei,英雄爱三国
胡莱三国2,com.hoolai.hlsg2.mi,胡莱游戏,战争策略,-,-,-,mi,英雄爱三国
三国龙翔传,com.reagame.sglxz.huawei.1612301417.apk,北京正越银河网络科技有限公司,-,-,-,-,huawei,英雄爱三国
叫我三国迷-三国战,com.fingerfly.sanguo.mi,指飞科技,战争策略,-,-,-,mi,英雄爱三国
微微三国,com.weiweisanguo.huawei.1904181654.apk,上饶市悦人网络科技有限公司,-,-,-,-,huawei,英雄爱三国
三国杀传奇,com.bf.sgscq.huawei.1804161638.apk,杭州边锋网络技术有限公司,-,-,-,-,huawei,英雄爱三国
异次元英雄传,com.ycy.ycyhero.huawei.1901211137.apk,厦门异次元网络技术有限公司,-,-,-,-,huawei,英雄爱三国
英雄护卫队2016,com.hwdj.yxhwd.huawei.1904281547.apk,金萪哲信（深圳）科技有限公司,-,-,-,-,huawei,英雄爱三国
